table,itemtype,http_status,total
glpi_fieldblacklists,Fieldblacklist,200,-
glpi_fieldunicities,Fieldunicity,400,-
glpi_filesystems,Filesystem,206,21
glpi_fqdns,Fqdn,400,-
glpi_groups,Group,206,99
glpi_groups_knowbaseitems,GroupsKnowbaseitem,400,-
glpi_groups_problems,GroupsProblem,400,-
glpi_groups_reminders,GroupsReminder,400,-
glpi_groups_rssfeeds,GroupsRssfeed,400,-
glpi_groups_tickets,GroupsTicket,400,-
glpi_groups_users,GroupsUser,400,-
glpi_holidays,Holiday,200,-
glpi_imageformats,Imageformat,400,-
glpi_imageresolutions,Imageresolution,400,-
glpi_impactcompounds,Impactcompound,400,-
glpi_impactcontexts,Impactcontext,400,-
glpi_impactitems,Impactitem,400,-
glpi_impactrelations,Impactrelation,400,-
glpi_infocoms,Infocom,200,-
glpi_interfacetypes,Interfacetype,400,-
glpi_ipaddresses,Ipaddress,400,-
glpi_ipaddresses_ipnetworks,IpaddressesIpnetwork,400,-
glpi_ipnetworks,Ipnetwork,400,-
glpi_ipnetworks_vlans,IpnetworksVlan,400,-
glpi_items_clusters,ItemsCluster,400,-
glpi_items_devicebatteries,ItemsDevicebattery,400,-
glpi_items_devicecameras,ItemsDevicecamera,400,-
glpi_items_devicecameras_imageformats,ItemsDevicecamerasImageformat,400,-
glpi_items_devicecameras_imageresolutions,ItemsDevicecamerasImageresolution,400,-
glpi_items_devicecases,ItemsDevicecas,400,-
glpi_items_devicecontrols,ItemsDevicecontrol,400,-
glpi_items_devicedrives,ItemsDevicedrive,400,-
glpi_items_devicefirmwares,ItemsDevicefirmware,400,-
glpi_items_devicegenerics,ItemsDevicegeneric,400,-
glpi_items_devicegraphiccards,ItemsDevicegraphiccard,400,-
glpi_items_deviceharddrives,ItemsDeviceharddrive,400,-
glpi_items_devicememories,ItemsDevicememory,400,-
glpi_items_devicemotherboards,ItemsDevicemotherboard,400,-
glpi_items_devicenetworkcards,ItemsDevicenetworkcard,400,-
glpi_items_devicepcis,ItemsDevicepci,400,-
glpi_items_devicepowersupplies,ItemsDevicepowersupply,400,-
glpi_items_deviceprocessors,ItemsDeviceprocessor,400,-
glpi_items_devicesensors,ItemsDevicesensor,400,-
glpi_items_devicesimcards,ItemsDevicesimcard,400,-
glpi_items_devicesoundcards,ItemsDevicesoundcard,400,-
glpi_items_disks,ItemsDisk,400,-
glpi_items_enclosures,ItemsEnclosure,400,-
glpi_items_kanbans,ItemsKanban,400,-
glpi_items_operatingsystems,ItemsOperatingsystem,400,-
glpi_items_problems,ItemsProblem,400,-
glpi_items_projects,ItemsProject,400,-
glpi_items_racks,ItemsRack,400,-
glpi_items_remotemanagements,ItemsRemotemanagement,400,-
glpi_items_softwarelicenses,ItemsSoftwarelicens,400,-
glpi_items_softwareversions,ItemsSoftwareversion,400,-
glpi_items_tickets,ItemsTicket,400,-
glpi_itilcategories,Itilcategory,206,109
glpi_itilfollowups,Itilfollowup,400,-
glpi_itilfollowuptemplates,Itilfollowuptemplate,400,-
glpi_itils_projects,ItilsProject,400,-
glpi_itilsolutions,Itilsolution,400,-
glpi_knowbaseitemcategories,Knowbaseitemcategory,400,-
glpi_knowbaseitems,Knowbaseitem,400,-
glpi_knowbaseitems_comments,KnowbaseitemsComment,400,-
glpi_knowbaseitems_items,KnowbaseitemsItem,400,-
glpi_knowbaseitems_knowbaseitemcategories,KnowbaseitemsKnowbaseitemcategory,400,-
glpi_knowbaseitems_profiles,KnowbaseitemsProfile,400,-
glpi_knowbaseitems_revisions,KnowbaseitemsRevision,400,-
glpi_knowbaseitems_users,KnowbaseitemsUser,400,-
glpi_knowbaseitemtranslations,Knowbaseitemtranslation,400,-
glpi_lineoperators,Lineoperator,400,-
glpi_lines,Line,200,-
glpi_linetypes,Linetype,400,-
glpi_links,Link,200,-
glpi_links_itemtypes,LinksItemtype,400,-
glpi_locations,Location,206,422
glpi_lockedfields,Lockedfield,206,47
glpi_logs,Log,206,66890
glpi_mailcollectors,Mailcollector,200,1
glpi_manuallinks,Manuallink,400,-
glpi_manufacturers,Manufacturer,200,-
glpi_monitormodels,Monitormodel,400,-
glpi_monitors,Monitor,403,-
glpi_monitortypes,Monitortype,400,-
glpi_networkaliases,Networkalias,400,-
glpi_networkequipmentmodels,Networkequipmentmodel,400,-
glpi_networkequipments,Networkequipment,403,-
glpi_networkequipmenttypes,Networkequipmenttype,400,-
glpi_networkinterfaces,Networkinterface,400,-
glpi_networknames,Networkname,400,-
